"SNI 1","SNI 2","SNI 3","Processes"
25620,33200,,"Production and assemblage of parts to the engineering industry "
24100,25500,,"Production and refining of metal components"
24420,,,"Production of 0,005-0,02 mm double-rolled aluminium foil "
24420,,,"Production of 0,02-0,2 mm single-rolled aluminium foil "
17211,,,"Production of a Corrugated Board Box (182*62*182) "
20410,,,"Production of Alkyl Polyglucosides (APG) from coconut oil"
20150,,,"Production of ammonia "
20150,,,"Production of ammonium nitrate "
28150,,,"Production of bearing rings "
28150,,,"Production of bearing rollers (à 9,2 kg) "
24100,,,"Production of Bearing Steel "
1420,,,"Production of beef. ESA-DBP "
20140,,,"Production of benzene (APME)"
24440,,,"Production of Blister Copper "
28150,,,"Production of brass cages used for spherical roller bearings "
20170,,,"Production of butadiene"
26700,,,"Production of cameras, magazines and accessories"
20150,,,"Production of CAN fertiliser "
20150,,,"Production of CAN fertiliser AGGR"
24100,,,"Production of clean bearing steel "
20110,,,"Production of cooling fluid, R134a "
24440,24410,,"Production of Copper Anodes "
17230,17122,,"Production of copypaper. ESA-DBP "
20140,,,"Production of dimethylether from energy forest "
20520,,,"Production of Dowel Adhesive PVAC 3370 "
2102,,,"Production of energy forest"
20170,22190,,"Production of EPDM "
20140,,,"Production of ethyl alcohol using energy forest and the CASH-method"
20140,,,"Production of ethyl alcohol using energy forest and the CHAP-method"
20140,,,"Production of ethyl alcohol using energy forest and the enzyme-method"
24420,,,"Production of extruded aluminium profiles "
28150,,,"Production of guide rings used for spherical roller bearings "
20520,,,"Production of Hardener 2542 for melamine urea formaldehyde resins 1241 and 1242 production "
20520,,,"Production of Hardener 2545 for urea formaldehyde resins "
20520,,,"Production of Hardener 2580 for urea formaldehyde resins "
20160,,,"Production of high-density polyethylene"
19200,,,"Production of hot mix for asphalt pavement."
24100,,,"Production of hot rolled steel rings "
20110,,,"Production of hydrogen (cracker) (APME)"
28960,,,"Production of injection moulding"
23140,,,"Production of insulation glass wool "
23991,,,"Production of insulation rock wool "
24100,,,"Production of iron oxide"
20300,,,"Production of iron oxide yellow colorant containing Bermodol SPS 2532 "
20300,,,"Production of iron oxide yellow colorant containing Berol 09 "
24100,,,"Production of Iron Powder "
17123,,,"Production of Kraftliner "
20170,,,"Production of latex rubber"
20140,,,"Production of Linear Alkylbenzene Sulphonates (LAS)"
22230,,,"Production of linoleum"
10410,16103,30110,"Production of linseed oil "
10410,,,"Production of linseed oil in Sweden"
20160,,,"Production of low-density polyethylene"
20590,,,"Production of lubricating oil"
20520,20300,20120,"Production of mastic "
24440,,,"Production of matte copper "
20520,,,"Production of Melamin-Urea-Formaldehyde resin 1241(MUF 1241), Wood Adhesive "
20520,,,"Production of Melamin-Urea-Formaldehyde resin 1242(MUF 1242), Wood Adhesive "
20140,,,"Production of methanol using energy forest"
20140,,,"Production of methylene diphenyl diisocyanate, MDI (APME)"
20590,,,"Production of mounting fluid "
20150,,,"Production of nitric acid "
20150,,,"Production of nitric acid (Landskrona) "
20140,,,"Production of nonylphenol and dinonylphenol"
20150,,,"Production of NP 27-5 fertiliser "
20150,,,"Production of NP 27-5 fertiliser AGGR"
20150,,,"Production of NPK 20-3-5 fertiliser "
20150,,,"Production of NPK 20-3-5 fertiliser AGGR"
20140,,,"Production of nylon 66 (APME)"
20140,,,"Production of orthoxylene. ESA-DBP "
20300,20120,,"Production of paint and anti corrosion agents"
20300,,,"Production of paint, thinner and enamel mainly for surface treatment of steel"
20160,22220,,"Production of PE-film"
20140,,,"Production of pentane (APME)"
20140,,,"Production of petrochemical Alcohol Ethoxylates (AE) with 3 moles of ethylene oxide (EO)"
20140,,,"Production of petrochemical Alcohol Ethoxylates (AE) with 7 moles of ethylene oxide (EO)"
20130,,,"Production of petrochemical Alcohol Sulphates (AS)"
20130,,,"Production of phosphoric acid "
20130,,,"Production of phosphoric acid (48 % P2O5) "
24100,24510,,"Production of pig iron "
24100,24510,,"Production of pig iron - blast furnace process. ESA-DBP "
22210,,,"Production of plastic strips and film"
16210,16240,,"Production of plywood boxes "
20140,,,"Production of polyamid 66 containing 30% glass fibre (APME) "
20170,,,"Production of polybutadiene (APME)"
20160,,,"Production of polyethylene resin (HDPE), (APME)"
20160,,,"Production of polyethylene terephthalate (APME) "
