"product","substance","quantity","unit"
"Clay roof tile manufacturing. ESA-DBP","Heavy fuel oil",1.48,
"Clay roof tile manufacturing. ESA-DBP","Lime",0,
"Clay roof tile manufacturing. ESA-DBP","Oxygen",0,
"Clay roof tile manufacturing. ESA-DBP","Sulphuric acid",0,
"Clay roof tile manufacturing. ESA-DBP","Bentonite",0,
"Clay roof tile manufacturing. ESA-DBP","Biomass",0,
"Clay roof tile manufacturing. ESA-DBP","Clay",0.78,
"Clay roof tile manufacturing. ESA-DBP","Copper in ore",0,
"Clay roof tile manufacturing. ESA-DBP","Crude oil",0,
"Clay roof tile manufacturing. ESA-DBP","Hard coal",0,
"Clay roof tile manufacturing. ESA-DBP","Hydro power",0.1,
"Clay roof tile manufacturing. ESA-DBP","Iron in ore",0,
"Clay roof tile manufacturing. ESA-DBP","Lead in ore",0,
"Clay roof tile manufacturing. ESA-DBP","Lignite",0,
"Clay roof tile manufacturing. ESA-DBP","Natural gas",0,
"Clay roof tile manufacturing. ESA-DBP","Uranium in ore",0,
"Clay roof tile manufacturing. ESA-DBP","Wind power",0,
"Cleaning and blastering of cast iron","Cast iron",33.75,
"Cleaning and blastering of cast iron","District heat",7275292,
"Cleaning and blastering of cast iron","Electricity",865418,
"Cleaning and blastering of cast iron","Steel",0.11,
"Cleaning of bearing roller","Water",10.02,
"Cleaning of bearing roller","Deconex HT1153",15.2,
"Cleaning of bearing roller","Deconex HT115D",18.23,
"Cleaning of bearing roller","Deconex HT1169",22.79,
"Cleaning of bearing roller","Deconex HT1175",38.9,
"Cleaning of bearing roller","Deconex HT1217",11.4,
"Cleaning of bearing roller","Deconex SP33",59.27,
"Cleaning of bearing roller","Dimethylethanolamine",4.56,
"Cleaning of bearing roller","Electricity",0.94,
"Cleaning of bearing roller","Ethanol",1416,
"Cleaning of bearing roller","Hydrogen peroxide",1306.8,
"Cleaning of bearing roller","roller",55.2,
"Cleaning of bearing roller","Sodium carbonate",0.91,
"Cleaning of bearing roller","Sodium hydroxide",59.04,
"Cleansing of glass containers","Electricity",0.02,
"Cleansing of glass containers","Fossil fuel",0.42,
"Cleansing of glass containers","Glass container",1,
"Cleansing of glass containers","Washing soda",0.01,
"Cleansing of juice bottles","Electricity",0.04,
"Cleansing of juice bottles","Fossil fuel",0.6,
"Cleansing of juice bottles","Juice bottles",1,
"Clearing of young forest","Gasoline",377,
"Clearing of young forest","Planted forest area",1,
"Coal fired plant for heat and power production - Large plant","Electricity",0.04,
"Coal fired plant for heat and power production - Large plant","Stone coal",166,
"Coal mining and cleaning. ESA-DBP","Raw coal",1.88,
"Coal mining and cleaning. ESA-DBP","Electricity",0.1,
"Coal mining and cleaning. ESA-DBP","Process air",4.51,
"Coal mining and cleaning. ESA-DBP","Process water",2.84,
"Coarse mortar production","Aggregates",250,
"Coarse mortar production","Cement",80,
"Coarse mortar production","Dolomite",580,
"Coarse mortar production","Limestone",189,
"Coarse mortar production","Additives",10,
"Coarse mortar production","Electricity",0.16,
"Cold reducing of steel sheets","Electricity",0.06,
"Cold reducing of steel sheets","Oil",0.5,
"Cold reducing of steel sheets","Pickled steel sheet",1,
"Combined heat and power plant (CFB-KVV) with support systems","Area",0.07,
"Combined heat and power plant (CFB-KVV) with support systems","Bio fuel",0,
"Combined heat and power plant (CFB-KVV) with support systems","Coal",0,
"Combined heat and power plant (CFB-KVV) with support systems","Copper ore",0.02,
"Combined heat and power plant (CFB-KVV) with support systems","Fuel wood",398,
"Combined heat and power plant (CFB-KVV) with support systems","Iron ore",0.05,
"Combined heat and power plant (CFB-KVV) with support systems","Natural gas",0,
"Combined heat and power plant (CFB-KVV) with support systems","Ammonia",0.01,
"Combined heat and power plant (CFB-KVV) with support systems","Electricity",0,
"Combined heat and power plant (CFB-KVV) with support systems","Electricity",0,
"Combined heat and power plant (CFB-KVV) with support systems","Heavy oil",0.04,
"Combined heat and power plant (CFB-KVV) with support systems","NaOH",0.01,
"Combined heat and power plant (GCC-KVV) with support systems","Area",0.09,
"Combined heat and power plant (GCC-KVV) with support systems","Bauxite",0,
"Combined heat and power plant (GCC-KVV) with support systems","Copper ore",0,
"Combined heat and power plant (GCC-KVV) with support systems","Fuel wood",512,
"Combined heat and power plant (GCC-KVV) with support systems","Iron ore",0.08,
"Combined heat and power plant (GCC-KVV) with support systems","Ammonia",0,
"Combined heat and power plant (GCC-KVV) with support systems","Bio fuel",0,
"Combined heat and power plant (GCC-KVV) with support systems","Coal",0,
"Combined heat and power plant (GCC-KVV) with support systems","Electricity",0,
"Combined heat and power plant (GCC-KVV) with support systems","Electricity",0,
"Combined heat and power plant (GCC-KVV) with support systems","Heavy oil",0.05,
"Combined heat and power plant (GCC-KVV) with support systems","NaOH",0.08,
"Combined heat and power plant (GCC-KVV) with support systems","Natural gas",0,
"Combustion of bio fuel","Bio fuel",1,
"Combustion of coal","Coal",1,
"Combustion of natural gas","Natural gas",1,
"Combustion of oil","Oil",1,
"Combustion of waste","Ammonia",4.43,
"Combustion of waste","HCl",0.12,
"Combustion of waste","Levoxin/Hydrazin",0.01,
"Combustion of waste","Lime",7.11,
"Combustion of waste","NaOH",0.03,
"Combustion of waste","Polymers",0,
"Combustion of waste","Slaked lime",0.67,
"Combustion of waste","TMT 15",0.07,
"Combustion of waste","Trinatriumfosfat",0,
"Combustion of waste","Waste",1,
"Combustion of waste oil","Oil",84,
"Combustion of waste to generate heat and electricity","Ammonia",1.51,
"Combustion of waste to generate heat and electricity","Caustic soda",0.01,
"Combustion of waste to generate heat and electricity","Caustic soda",0.02,
"Combustion of waste to generate heat and electricity","Combustible waste",0.39,
