"Industrial Producing Groupings of Waste","Kod","Benämning"
,"A","Företag inom jordbruk, skogsbruk och fiske"
2,"01","Jordbruksföretag och serviceföretag till jordbruk"
2,"01.1","Växtodlare av ett- och tvååriga växter"
2,"01.11","Odlare av spannmål (utom ris), baljväxter och oljeväxter"
2,"01.110","Odlare av spannmål (utom ris), baljväxter och oljeväxter"
2,"01.12","Risodlare"
2,"01.120","Risodlare"
2,"01.13","Odlare av grönsaker, rotfrukter m.m."
2,"01.131","Potatisodlare"
2,"01.132","Sockerbetsodlare"
2,"01.133","Odlare av grönsaker på friland"
2,"01.134","Odlare av grönsaker i växthus"
2,"01.135","Svampodlare m.fl."
2,"01.14","Sockerrörsodlare"
2,"01.140","Sockerrörsodlare"
2,"01.15","Tobaksodlare"
2,"01.150","Tobaksodlare"
2,"01.16","Fiberväxtodlare"
2,"01.160","Fiberväxtodlare"
2,"01.19","Odlare av andra ett- och tvååriga växter"
2,"01.191","Odlare av prydnadsväxter i växthus"
2,"01.199","Odlare av övriga ett- och tvååriga växter"
2,"01.2","Odlare av fleråriga växter"
2,"01.21","Druvodlare"
2,"01.210","Druvodlare"
2,"01.22","Odlare av tropiska och subtropiska frukter"
2,"01.220","Odlare av tropiska och subtropiska frukter"
2,"01.23","Citrusfruktodlare"
2,"01.230","Citrusfruktodlare"
2,"01.24","Odlare av kärn- och stenfrukter"
2,"01.240","Odlare av kärn- och stenfrukter"
2,"01.25","Odlare av andra frukter och bär samt nötter"
2,"01.250","Odlare av andra frukter och bär samt nötter"
2,"01.26","Odlare av oljehaltiga frukter"
2,"01.260","Odlare av oljehaltiga frukter"
2,"01.27","Odlare av växter för dryckesframställning"
2,"01.270","Odlare av växter för dryckesframställning"
2,"01.28","Odlare av kryddväxter, drog- och medicinalväxter"
2,"01.280","Odlare av kryddväxter, drog- och medicinalväxter"
2,"01.29","Odlare av andra fleråriga växter"
2,"01.290","Odlare av andra fleråriga växter"
2,"01.3","Odlare av plantskoleväxter"
2,"01.30","Odlare av plantskoleväxter"
2,"01.301","Odlare av plantskoleväxter i växthus"
2,"01.302","Odlare av plantskoleväxter m.m. på friland"
2,"01.4","Djurskötselföretag"
2,"01.41","Mjölkproducenter "
2,"01.410","Mjölkproducenter "
2,"01.42","Nötköttsproducenter"
2,"01.420","Nötköttsproducenter"
2,"01.43","Stuterier och andra hästuppfödare m.fl."
2,"01.430","Stuterier och andra hästuppfödare m.fl."
2,"01.44","Uppfödare av kameler och kameldjur"
2,"01.440","Uppfödare av kameler och kameldjur"
2,"01.45","Får- och getuppfödare"
2,"01.450","Får- och getuppfödare"
2,"01.46","Svinuppfödare"
2,"01.461","Smågrisuppfödare"
2,"01.462","Slaktsvinsuppfödare"
2,"01.47","Äggproducenter och fjäderfäföretag"
2,"01.471","Äggproducenter"
2,"01.472","Fjäderfäföretag"
2,"01.49","Andra djuruppfödare"
2,"01.491","Renskötare"
2,"01.492","Uppfödare av sällskapsdjur"
2,"01.499","Övriga djuruppfödare"
2,"01.5","Blandat jordbruk"
2,"01.50","Blandat jordbruk"
2,"01.500","Blandat jordbruk"
2,"01.6","Serviceföretag till jordbruk och bearbetning av skördade växter"
2,"01.61","Serviceföretag till växtodling"
2,"01.610","Serviceföretag till växtodling"
2,"01.62","Serviceföretag till husdjurskötsel "
2,"01.620","Serviceföretag till husdjurskötsel "
2,"01.63","Företag för bearbetning av skördade växter "
2,"01.630","Företag för bearbetning av skördade växter "
2,"01.64","Företag för bearbetning av utsäde"
2,"01.640","Företag för bearbetning av utsäde"
2,"01.7","Jägare och viltvårdare inkl. serviceföretag"
2,"01.70","Jägare och viltvårdare inkl. serviceföretag"
2,"01.700","Jägare och viltvårdare inkl. serviceföretag"
2,"02","Skogsbruksföretag"
2,"02.1","Skogsägare och skogsskötselföretag"
2,"02.10","Skogsägare och skogsskötselföretag"
2,"02.101","Skogsägare"
2,"02.102","Skogsskötselföretag"
2,"02.109","Övriga skogsbruksföretag"
2,"02.2","Avverkningsföretag"
2,"02.20","Avverkningsföretag"
2,"02.200","Avverkningsföretag"
2,"02.3","Insamlare av annat vilt växande skogsmaterial än trä"
2,"02.30","Insamlare av annat vilt växande skogsmaterial än trä"
2,"02.300","Insamlare av annat vilt växande skogsmaterial än trä"
2,"02.4","Serviceföretag till skogsbruk"
2,"02.40","Serviceföretag till skogsbruk"
2,"02.401","Virkesmätningsföreningar"
2,"02.409","Övriga serviceföretag till skogsbruk"
3,"03","Fiskare och vattenbrukare "
3,"03.1","Fiskare "
3,"03.11","Saltvattenfiskare"
3,"03.111","Trålfiskare, i saltvatten"
3,"03.119","Övriga saltvattensfiskare"
3,"03.12","Sötvattensfiskare"
3,"03.120","Sötvattensfiskare"
3,"03.2","Vattenbrukare"
3,"03.21","Fiskodlare, i saltvatten"
3,"03.210","Fiskodlare, i saltvatten"
3,"03.22","Fiskodlare, i sötvatten"
3,"03.220","Fiskodlare, i sötvatten"
,"B","Gruvor och mineralutvinningsindustri"
4,"05","Kolgruvor"
4,"05.1","Stenkolsgruvor"
4,"05.10","Stenkolsgruvor"
4,"05.100","Stenkolsgruvor"
4,"05.2","Brunkolsgruvor"
4,"05.20","Brunkolsgruvor"
4,"05.200","Brunkolsgruvor"
4,"06","Industri för utvinning av råpetroleum och naturgas "
4,"06.1","Industri för utvinning av råpetroleum "
4,"06.10","Industri för utvinning av råpetroleum "
4,"06.100","Industri för utvinning av råpetroleum "
4,"06.2","Industri för utvinning av naturgas "
4,"06.20","Industri för utvinning av naturgas "
4,"06.200","Industri för utvinning av naturgas "
4,"07","Metallmalmsgruvor"
4,"07.1","Järnmalmsgruvor"
4,"07.10","Järnmalmsgruvor"
4,"07.100","Järnmalmsgruvor"
4,"07.2","Andra metallmalmsgruvor än järnmalmsgruvor"
4,"07.21","Uran- och toriumgruvor"
4,"07.210","Uran- och toriumgruvor"
4,"07.29","Andra metallmalmsgruvor"
4,"07.290","Andra metallmalmsgruvor"
4,"08","Annan industri för mineralutvinning"
4,"08.1","Stenbrott o.d.; sand-, grus-, berg- och lertäkter"
4,"08.11","Natur-, kalk- och gipsstensbrott samt krita- och skifferbrott"
4,"08.110","Natur-, kalk- och gipsstensbrott samt krita- och skifferbrott"
4,"08.12","Sand-, grus-, berg- och lertäkter"
4,"08.120","Sand-, grus-, berg- och lertäkter"
4,"08.9","Övriga mineralbrott och -täkter"
4,"08.91","Brott för kemiska mineral"
4,"08.910","Brott för kemiska mineral"
4,"08.92","Torvtäkter"
4,"08.920","Torvtäkter"
4,"08.93","Industri för saltutvinning"
4,"08.930","Industri för saltutvinning"
4,"08.99","Diverse övrig industri för mineralutvinning"
4,"08.990","Diverse övrig industri för mineralutvinning"
4,"09","Serviceföretag till utvinning"
4,"09.1","Serviceföretag till råpetroleum- och  naturgasutvinning"
4,"09.10","Serviceföretag till råpetroleum- och  naturgasutvinning"
4,"09.100","Serviceföretag till råpetroleum- och  naturgasutvinning"
