,"Generation of waste (tonnes, kg per person) [env_wasgen]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Last update",31.08.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Extracted on",21.10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Source of Data","Eurostat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Short Description","Short Description is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"UNIT","T - Tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HAZARD","NHAZ - Non-hazardous waste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"WASTE","TOTAL - Total Waste","W01-05 - Chemical and medical wastes","EWC_011"," EWC_012","EWC_013"," EWC_014"," EWC_02"," EWC_031"," EWC_032"," EWC_05","W06-W07_X_W077 - Recyclable wastes"," EWC_06"," EWC_071"," EWC_072"," EWC_073"," EWC_074"," EWC_075"," EWC_076","W077_W08 - Equipment","EWC_077"," EWC_080_NOT_081_0841"," EWC_081"," EWC_0841","W09 - Animal and vegetal wastes"," EWC_09_NOT_0911_093"," EWC_0911"," EWC_093","W10 - Mixed ordinary wastes"," EWC_101"," EWC_102"," EWC_103","W11 - Common sludges"," EWC_11_NOT_113"," EWC_113","W12-13 - Mineral and solidified wastes"," EWC_121_TO_125_NOT_124"," EWC_124","EWC_126"," EWC_13"
"Industrial Grouping Number","NACE_R2","GEO/TIME","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008"
,"TOTAL - Total - All NACE activities","Sweden","80,060,947","964,266",":","238,537",":",307,"31,548","380,404","305,008","8,461","8,908,172","2,388,951","80,668","1,772,968","16,437","155,580","4,473,610","19,958","144,411",":","7,270","136,999",142,"1,297,900","1,062,260","145,015","90,624","3,210,149","89,929","822,351","2,297,869","584,460","509,832","74,628","64,951,589","62,226,961","2,653,263",":","71,366"
