"Row Labels","Count of substance","Sum of quantity","SUPER_SPECIAL_SUB_NAME","SUB_TYPE","Direct 1","Direct 2","Direct 3","Direct 4","Processed 1","Processed 2","Processed 3","Processed 4","Substitute 1","Substitute 2","Substitute 3","Substitute 4"
"2-(2-Butoxyethoxy)ethanol",1,0.01,"Spine_1","M",,,,,,,,,,,,
"A Magnusson 10-303W",1,0.17,"Spine_2","M",,,,,,,,,,,,
"A Magnusson 20-575",1,0.21,"Spine_3","M",,,,,,,,,,,,
"A Magnusson 389-2000",1,0.66,"Spine_4","M",,,,,,,,,,,,
"Absol",1,0.01,"Spine_5","M",,,,,,,,,,,,
"Acetic acid",4,0.54,"Spine_6","M",,,,,,,,,,,,
"Acetone",2,0.01,"Spine_7","M",,,,,,,,,,,,
"Acetylene",1,0,"Spine_8","M",,,,,,,,,,,,
"Acid",1,8.7,"Spine_9","M",,,,," EWC_012",,,,,,,
"acrylate",1,2.5,"Spine_10","M",,,,,,,,,,,,
"Acrylic",1,0,"Spine_11","M",,,,,,,,,,,,
"Acrylic adhesive",1,0.02,"Spine_12","M",,,,,,,,,,,,
"Acrylic resin",2,0.2,"Spine_13","M",,,,,,,,,,,,
"Additives",9,57.43,"Spine_14","M",,,,,,,,,,,,
"Adhesive",4,0,"Spine_15","M",,,,,,,,,,,,
"Adhesive (calcium carbonate)",1,0.03,"Spine_16","M",,,,,,,,,,,,
"Adhesive (epoxy resin)",1,0.03,"Spine_17","M",,,,,,,,,,,,
"AE",2,0.13,"Spine_18","M",,,,,,,,,,,,
"Ag",11,0.05,"Spine_19","M",,,,,,,,,,,,
"Aggregates",6,66053,"Spine_20","M"," EWC_121_TO_125_NOT_124"," EWC_124",,,,,,,,,,
"Agricultural land",1,108,"Spine_21","G",,,,,,,,,,,,
"Air",12,146973.72,"Spine_22","A",,,,,,,,,,,,
"Al",5,7.84,"Spine_23","m",,,,,,,,,,,,
"Al2(SO4)3",1,0,"Spine_24","m",,,,,,,,,,,,
"Alkylpolyethyleneglycolether",1,0.11,"Spine_25","m",,,,,,,,,,,,
"Alloy materials",4,325.8,"Spine_26","m",,,,,,,,,,,,
"Alloying additives",3,55.2,"Spine_27","m",,,,,,,,,,,,
"Alloying elements",1,10.8,"Spine_28","m",,,,,,,,,,,,
"Alpoclar 200",2,0.55,"Spine_29","m",,,,,,,,,,,,
"Alstan 71",1,0.01,"Spine_30","m",,,,,,,,,,,,
"Alstan 72",1,0,"Spine_31","m",,,,,,,,,,,,
"Alstan 75",1,0.07,"Spine_32","m",,,,,,,,,,,,
"Alumet",2,6.88,"Spine_33","m",,,,,,,,,,,,
"Aluminium",4,2.27,"Spine_34","m",,,,," EWC_06",,,,,,,
"Aluminium alloy",1,260,"Spine_35","m",,,,,,,,,,,,
"Aluminium foil",1,0.79,"Spine_36","m",,,,," EWC_06",,,,,,,
"Aluminium hydroxide",1,12.5,"Spine_37","m",,,,,,,,,,,,
"Aluminium ingot",3,3072,"Spine_38","m",,,,,,,,,,,,
"Aluminium oxide",3,0.41,"Spine_39","m",,,,,,,,,,,,
"Aluminium sulphate",1,0.03,"Spine_40","m",,,,,,,,,,,,
"Ammonia",13,8.49,"Spine_41","m",,,,,,,,,,,,
"Ammonium bifluorid",1,0.01,"Spine_42","m",,,,,,,,,,,,
"Ammonium nitrate",1,1.44,"Spine_43","m",,,,,,,,,,,,
"Ansatzl̦sung",1,0.01,"Spine_44","m",,,,,,,,,,,,
"Anthracite",1,14,"Spine_45","m",,,,,,,,,,,,
"Antifoam SE",2,0.01,"Spine_46","m",,,,,,,,,,,,
"Antifreezers",1,0.04,"Spine_47","m",,,,,,,,,,,,
"Antimony trioxide",1,0.02,"Spine_48","m",,,,,,,,,,,,
"Aqua flux",1,253.04,"Spine_49","m",,,,,,,,,,,,
"Aqua oil",1,506.08,"Spine_50","m",,,,,,,,,,,,
"arable land",1,9.82,"Spine_51","g",,,,,,,,,,,,
"Area",7,0.15,"Spine_52","g",,,,,,,,,,,,
"Area II-III",5,31593,"Spine_53","g",,,,,,,,,,,,
"Area III-IV",5,475.99,"Spine_54","g",,,,,,,,,,,,
"Area II-IV",5,420,"Spine_55","g",,,,,,,,,,,,
"Area IV-IV",5,1.94,"Spine_56","g",,,,,,,,,,,,
"Area, sea bed II-III",5,6603.12,"Spine_57","g",,,,,,,,,,,,
"Area, sea bed II-IV",5,680.55,"Spine_58","g",,,,,,,,,,,,
"Ar-gas",4,5.53,"Spine_59","m",,,,,,,,,,,,
"Au",3,0.06,"Spine_60","m",,,,,,,,,,,,
"Azo-copper complex colorant",1,0,"Spine_61","m",,,,,,,,,,,,
"Azo-reactive colorant",1,0.15,"Spine_62","m",,,,,,,,,,,,
"Ba",1,0,"Spine_63","m",,,,,,,,,,,,
"Barite",5,412.1,"Spine_64","m",,,,,,,,,,,,
"Bark",1,0.03,"Spine_65","m",,,,,,,,," EWC_075",,,
"Barytes",8,3.79,"Spine_66","m",,,,,,,,,,,,
"Base coat, metallic",1,4.35,"Spine_67","m",,,,,,,,,,,,
"Base coat, solid",1,2.08,"Spine_68","m",,,,,,,,,,,,
"Bauxite",50,123391.86,"Spine_69","m",,,,,,,,,,,,
"Bearing",2,2.4,"Spine_70","m",,,,,,,,,,,,
"Bearing 1",1,1,"Spine_71","m",,,,,,,,,,,,
"Bearing 2",1,1,"Spine_72","m",,,,,,,,,,,,
"bearing roller",1,9.2,"Spine_73","m",,,,,,,,,,,,
"Bentonite",25,1771.69,"Spine_74","m",,,,,,,,,,,,
"Bio fuel",13,4307.65,"Spine_75","f"," EWC_075"," EWC_074"," EWC_072"," EWC_0911"," EWC_11_NOT_113",,,,,,,
"biocides",1,0,"Spine_76","m",,,,,,,,,,,,
"Biological household waste",1,1000,"Spine_77","w"," EWC_075"," EWC_074"," EWC_072"," EWC_0911"," EWC_11_NOT_113",,,,,,,
"Biomass",18,1706.38,"Spine_78","f"," EWC_075"," EWC_074"," EWC_072"," EWC_0911"," EWC_11_NOT_113",,,,,,,
